Timestamp,is_release,is_landing,in_flight,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13,Sensor_14,Sensor_15,Sensor_16,Sensor_17,Sensor_18,Sensor_19,Sensor_20,Sensor_21,Sensor_22,Sensor_23,Sensor_24,Sensor_25,Sensor_26,Sensor_27,Sensor_28,Sensor_29,Sensor_30,Sensor_31,Sensor_32,Sensor_33,Sensor_34,Sensor_35,Sensor_36,Sensor_37,Sensor_38,Sensor_39,Sensor_40,Sensor_41,Sensor_42,Sensor_43,Sensor_44,Sensor_45,Sensor_46,Sensor_47,Sensor_48,Sensor_49,Sensor_50,Sensor_51,Sensor_52,Sensor_53,Sensor_54,Sensor_55,Sensor_56,Sensor_57,Sensor_58,Sensor_59,Sensor_60,Sensor_61,Sensor_62,Sensor_63,Sensor_64,Sensor_65,Sensor_66,Sensor_67,Sensor_68,Sensor_69,Sensor_70,Sensor_71,Sensor_72,Sensor_73,Sensor_74,Sensor_75,Sensor_76,Sensor_77,Sensor_78,Sensor_79,Sensor_80
2025-04-14 23:18:21.280000+00:00,False,False,False,-104.4,-100.8,-103.8,-101.8,-101.8,-103.4,-103.6,-103.4,-102.6,-62.8,-104.2,-103.6,-102.8,-102.2,-105.8,-103.4,-103.4,-104.6,-100.2,-60.6,-101.6,-102.6,-103.0,-102.8,-102.8,-104.4,-102.6,-99.8,-103.4,-105.0,-104.2,-101.2,-102.6,-104.0,-103.0,-103.2,-107.0,-104.0,-105.8,-104.6,-102.6,-100.6,-99.2,-100.0,-101.6,-99.0,-101.8,-99.0,-100.0,-101.2,-103.2,-100.2,-101.6,-101.6,-100.4,-100.8,-101.8,-100.8,-101.4,-103.6,-102.8,-99.8,-101.4,-102.0,-100.8,-99.6,-101.6,-101.2,-101.6,-103.8,-102.4,-101.0,-101.8,-102.2,-100.0,-101.6,-102.2,-100.8,-101.2,-104.2
2025-04-14 23:18:21.282000+00:00,False,False,False,-104.5,-100.9,-103.9,-101.9,-101.9,-103.5,-103.7,-103.5,-102.8,-62.9,-104.3,-103.7,-103.0,-102.3,-105.8,-103.5,-103.5,-104.7,-100.3,-60.7,-101.7,-102.7,-103.0,-102.9,-102.9,-104.4,-102.6,-99.9,-103.5,-105.1,-104.3,-101.3,-102.7,-104.1,-103.0,-103.2,-107.0,-104.1,-105.9,-104.8,-102.8,-100.7,-99.4,-100.2,-101.7,-99.1,-101.9,-99.2,-100.1,-101.4,-103.2,-100.3,-101.7,-101.6,-100.4,-100.9,-101.9,-100.9,-101.6,-103.8,-102.9,-100.0,-101.5,-102.1,-100.9,-99.7,-101.7,-101.3,-101.7,-104.0,-102.6,-101.1,-101.9,-102.3,-100.0,-101.6,-102.1,-100.8,-101.2,-104.3
2025-04-14 23:18:21.322000+00:00,False,False,False,-104.53333333333333,-100.93333333333334,-103.86666666666667,-101.86666666666666,-101.93333333333334,-103.46666666666667,-103.66666666666667,-103.46666666666667,-102.73333333333332,-62.86666666666666,-104.2,-103.6,-102.93333333333332,-102.26666666666667,-105.73333333333332,-103.4,-103.46666666666667,-104.6,-100.2,-60.6,-101.53333333333333,-102.6,-102.86666666666667,-102.8,-102.8,-104.33333333333333,-102.53333333333333,-99.8,-103.26666666666668,-104.86666666666667,-104.06666666666668,-101.13333333333334,-102.46666666666667,-103.8,-102.8,-103.0,-106.73333333333332,-103.73333333333332,-105.6,-104.26666666666668,-102.2,-100.0,-98.6,-99.46666666666667,-101.26666666666667,-98.66666666666666,-101.4,-98.6,-99.4,-100.4,-102.0,-99.6,-100.93333333333334,-100.86666666666666,-99.93333333333334,-100.4,-101.26666666666667,-100.2,-100.8,-102.66666666666667,-101.73333333333333,-99.26666666666667,-100.73333333333333,-101.4,-100.33333333333334,-99.26666666666667,-101.13333333333334,-100.66666666666666,-100.86666666666666,-102.86666666666667,-101.4,-100.26666666666667,-101.06666666666666,-101.46666666666667,-99.46666666666667,-101.06666666666666,-101.53333333333333,-100.06666666666666,-100.4,-103.06666666666668
2025-04-14 23:18:21.323000+00:00,False,False,False,-104.0,-100.6,-103.4,-101.5,-101.7,-103.15,-103.3,-103.1,-102.35,-62.3,-103.55,-103.15,-102.5,-101.85,-105.45,-103.1,-103.1,-104.2,-99.8,-72.8,-100.95,-102.2,-102.45,-102.4,-102.55,-104.0,-102.25,-99.45,-102.85,-104.2,-103.4,-100.75,-102.05,-103.4,-102.55,-102.75,-106.45,-103.3,-105.2,-103.65,-101.55,-99.65,-98.2,-99.1,-101.05,-98.45,-101.15,-98.25,-99.05,-99.85,-101.4,-99.25,-100.55,-100.5,-99.65,-100.15,-100.95,-99.85,-100.4,-102.1,-101.2,-98.9,-100.35,-101.05,-100.1,-99.0,-100.8,-100.35,-100.45,-102.3,-100.8,-99.85,-100.65,-101.0,-99.2,-100.75,-101.2,-99.7,-99.95,-102.4
2025-04-14 23:18:21.342000+00:00,False,False,False,-103.67999999999999,-100.4,-103.12,-101.28,-101.56,-102.96,-103.08,-102.84,-102.12,-61.96,-103.16,-102.88,-102.28,-101.6,-105.28,-102.92,-102.92,-103.96,-99.56,-80.12,-100.6,-101.96000000000001,-102.2,-102.16,-102.4,-103.84,-102.08,-99.24,-102.6,-103.84,-103.0,-100.52000000000001,-101.8,-103.16,-102.4,-102.6,-106.28,-103.08,-104.96,-103.28,-101.16,-99.44,-97.96000000000001,-98.88,-100.92,-98.32000000000001,-101.0,-98.08,-98.84,-99.52000000000001,-101.03999999999999,-99.03999999999999,-100.32000000000001,-100.28,-99.47999999999999,-100.0,-100.76,-99.64,-100.16,-101.72,-100.84,-98.67999999999999,-100.12,-100.8,-99.96000000000001,-98.88,-100.67999999999999,-100.16,-100.24,-101.96000000000001,-100.44,-99.6,-100.4,-100.76,-99.08,-100.56,-101.0,-99.52000000000001,-99.72,-102.03999999999999
2025-04-14 23:18:21.343000+00:00,False,False,False,-103.24000000000001,-100.16,-102.75999999999999,-101.0,-101.4,-102.72,-102.8,-102.55999999999999,-101.84,-61.52,-102.64000000000001,-102.52000000000001,-101.96000000000001,-101.28,-105.04,-102.67999999999999,-102.64000000000001,-103.64000000000001,-99.24,-89.88,-100.12,-101.64,-101.84,-101.84,-102.2,-103.55999999999999,-101.84,-98.96000000000001,-102.24,-103.32000000000001,-102.44000000000001,-100.2,-101.44,-102.75999999999999,-102.16,-102.36,-106.0,-102.67999999999999,-104.6,-102.72,-100.56,-99.03999999999999,-97.52000000000001,-98.52000000000001,-100.67999999999999,-98.08,-100.72,-97.72,-98.44,-98.96000000000001,-100.32000000000001,-98.64,-99.88,-99.88,-99.16,-99.72,-100.4,-99.24,-99.76,-101.08,-100.16,-98.28,-99.67999999999999,-100.36,-99.64,-98.64,-100.36,-99.76,-99.8,-101.32000000000001,-99.72,-99.12,-99.88,-100.24,-98.76,-100.24,-100.6,-99.08,-99.24,-101.32000000000001
2025-04-14 23:18:21.388000+00:00,False,False,False,-102.8,-99.88,-102.36,-100.67999999999999,-101.2,-102.47999999999999,-102.47999999999999,-102.24,-101.47999999999999,-61.04,-102.03999999999999,-102.12,-101.6,-100.92,-104.8,-102.4,-102.36,-103.28,-98.88,-99.6,-99.6,-101.28,-101.47999999999999,-101.47999999999999,-101.96000000000001,-103.28,-101.6,-98.64,-101.84,-102.75999999999999,-101.84,-99.84,-101.0,-102.32000000000001,-101.92,-102.12,-105.72,-102.28,-104.2,-102.08,-99.88,-98.6,-97.0,-98.08,-100.4,-97.8,-100.4,-97.28,-98.0,-98.32000000000001,-99.6,-98.2,-99.36,-99.44,-98.84,-99.4,-100.0,-98.84,-99.24,-100.36,-99.44,-97.8,-99.24,-99.92,-99.28,-98.36,-99.96000000000001,-99.36,-99.32000000000001,-100.6,-98.96000000000001,-98.6,-99.32000000000001,-99.72,-98.44,-99.92,-100.28,-98.64,-98.72,-100.56
2025-04-14 23:18:21.389000+00:00,False,False,False,-102.32000000000001,-99.6,-102.0,-100.4,-101.0,-102.24,-102.2,-101.96000000000001,-101.2,-60.6,-101.52000000000001,-101.8,-101.28,-100.6,-104.6,-102.2,-102.12,-103.0,-98.6,-109.4,-99.2,-101.0,-101.2,-101.2,-101.8,-103.08,-101.4,-98.4,-101.6,-102.32000000000001,-101.4,-99.56,-100.76,-102.08,-101.8,-102.0,-105.6,-102.08,-104.0,-101.8,-99.6,-98.6,-97.0,-98.12,-100.4,-97.8,-100.4,-97.24,-98.0,-98.32000000000001,-99.6,-98.2,-99.36,-99.44,-98.84,-99.4,-100.0,-98.88,-99.24,-100.36,-99.44,-97.8,-99.24,-99.88,-99.28,-98.36,-99.96000000000001,-99.32000000000001,-99.36,-100.64,-98.92,-98.6,-99.28,-99.72,-98.44,-99.92,-100.28,-98.64,-98.72,-100.56
2025-04-14 23:18:21.440000+00:00,False,False,False,-102.28,-99.56,-102.0,-100.4,-101.0,-102.28,-102.2,-101.96000000000001,-101.2,-60.64,-101.52000000000001,-101.8,-101.32000000000001,-100.64,-104.6,-102.2,-102.16,-103.0,-98.6,-109.44000000000001,-99.2,-101.03999999999999,-101.2,-101.2,-101.8,-103.08,-101.4,-98.4,-101.6,-102.36,-101.4,-99.52000000000001,-100.76,-102.08,-101.8,-102.0,-105.6,-102.12,-104.0,-101.8,-99.56,-98.6,-97.0,-98.16,-100.4,-97.76,-100.36,-97.24,-98.03999999999999,-98.4,-99.56,-98.2,-99.32000000000001,-99.44,-98.84,-99.4,-99.96000000000001,-98.92,-99.24,-100.4,-99.4,-97.8,-99.24,-99.88,-99.28,-98.4,-100.0,-99.32000000000001,-99.4,-100.64,-98.88,-98.6,-99.28,-99.76,-98.44,-99.96000000000001,-100.28,-98.64,-98.76,-100.6
2025-04-14 23:18:21.484000+00:00,False,False,False,-102.28,-99.56,-102.0,-100.4,-101.0,-102.28,-102.2,-102.0,-101.2,-60.67999999999999,-101.52000000000001,-101.8,-101.32000000000001,-100.64,-104.6,-102.2,-102.16,-103.04,-98.6,-109.44000000000001,-99.2,-101.03999999999999,-101.2,-101.24,-101.8,-103.08,-101.4,-98.4,-101.6,-102.36,-101.4,-99.47999999999999,-100.76,-102.08,-101.8,-102.0,-105.6,-102.12,-104.0,-101.8,-99.52000000000001,-98.6,-97.0,-98.16,-100.4,-97.76,-100.36,-97.2,-98.03999999999999,-98.44,-99.56,-98.24,-99.28,-99.47999999999999,-98.84,-99.4,-99.96000000000001,-98.96000000000001,-99.28,-100.47999999999999,-99.4,-97.8,-99.24,-99.88,-99.28,-98.36,-99.92,-99.32000000000001,-99.4,-100.67999999999999,-98.84,-98.64,-99.24,-99.76,-98.4,-100.0,-100.32000000000001,-98.64,-98.76,-100.6
